region,date,value
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2014-12-31,63832
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2016-12-31,71904
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2009-12-31,37480
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2019-12-31,106481
КАРАГАНДИНСКАЯ ОБЛАСТЬ,2020-12-31,130552
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2006-12-31,16665
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2011-12-31,39389
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2018-12-31,85630
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2017-12-31,74593
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2002-12-31,9296
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2009-12-31,30084
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2015-12-31,55391
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2007-12-31,22073
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2008-12-31,27876
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2003-12-31,10095
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2004-12-31,11883
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2014-12-31,53504
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2010-12-31,33100
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2016-12-31,64574
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2001-12-31,8226
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2013-12-31,49763
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2000-12-31,7418
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2012-12-31,45144
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2005-12-31,12793
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2019-12-31,97835
ВОСТОЧНО-КАЗАХСТАНСКАЯ ОБЛАСТЬ,2020-12-31,111632
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2004-12-31,6917
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2014-12-31,39764
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2003-12-31,5567
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2012-12-31,34607
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2008-12-31,20795
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2009-12-31,23588
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2018-12-31,61301
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2001-12-31,4001
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2005-12-31,9101
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2011-12-31,30783
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2017-12-31,54563
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2013-12-31,36539
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2000-12-31,3245
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2015-12-31,43142
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2006-12-31,11885
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2007-12-31,16669
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2010-12-31,28333
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2016-12-31,48057
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2002-12-31,4909
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2019-12-31,70330
ЖАМБЫЛСКАЯ ОБЛАСТЬ,2020-12-31,80516
МАНГИСТАУСКАЯ ОБЛАСТЬ,2003-12-31,24372
МАНГИСТАУСКАЯ ОБЛАСТЬ,2013-12-31,86266
МАНГИСТАУСКАЯ ОБЛАСТЬ,2016-12-31,113459
МАНГИСТАУСКАЯ ОБЛАСТЬ,2002-12-31,20724
МАНГИСТАУСКАЯ ОБЛАСТЬ,2001-12-31,18886
МАНГИСТАУСКАЯ ОБЛАСТЬ,2008-12-31,62194
МАНГИСТАУСКАЯ ОБЛАСТЬ,2004-12-31,29417
МАНГИСТАУСКАЯ ОБЛАСТЬ,2014-12-31,102644
МАНГИСТАУСКАЯ ОБЛАСТЬ,2000-12-31,14906
МАНГИСТАУСКАЯ ОБЛАСТЬ,2015-12-31,101302
МАНГИСТАУСКАЯ ОБЛАСТЬ,2007-12-31,43914
МАНГИСТАУСКАЯ ОБЛАСТЬ,2012-12-31,79449
МАНГИСТАУСКАЯ ОБЛАСТЬ,2018-12-31,131667
МАНГИСТАУСКАЯ ОБЛАСТЬ,2010-12-31,59909
МАНГИСТАУСКАЯ ОБЛАСТЬ,2011-12-31,69818
МАНГИСТАУСКАЯ ОБЛАСТЬ,2006-12-31,38317
МАНГИСТАУСКАЯ ОБЛАСТЬ,2009-12-31,55851
МАНГИСТАУСКАЯ ОБЛАСТЬ,2005-12-31,35713
МАНГИСТАУСКАЯ ОБЛАСТЬ,2017-12-31,122305
МАНГИСТАУСКАЯ ОБЛАСТЬ,2019-12-31,137539
МАНГИСТАУСКАЯ ОБЛАСТЬ,2020-12-31,141506
АТЫРАУСКАЯ ОБЛАСТЬ,2015-12-31,123202
АТЫРАУСКАЯ ОБЛАСТЬ,2007-12-31,50363
АТЫРАУСКАЯ ОБЛАСТЬ,2006-12-31,37774
АТЫРАУСКАЯ ОБЛАСТЬ,2008-12-31,77043
АТЫРАУСКАЯ ОБЛАСТЬ,2010-12-31,82662
АТЫРАУСКАЯ ОБЛАСТЬ,2009-12-31,81146
АТЫРАУСКАЯ ОБЛАСТЬ,2013-12-31,110188
АТЫРАУСКАЯ ОБЛАСТЬ,2012-12-31,108295
АТЫРАУСКАЯ ОБЛАСТЬ,2001-12-31,19509
АТЫРАУСКАЯ ОБЛАСТЬ,2004-12-31,29970
АТЫРАУСКАЯ ОБЛАСТЬ,2014-12-31,124705
АТЫРАУСКАЯ ОБЛАСТЬ,2000-12-31,15056
АТЫРАУСКАЯ ОБЛАСТЬ,2016-12-31,142758
АТЫРАУСКАЯ ОБЛАСТЬ,2002-12-31,23215
АТЫРАУСКАЯ ОБЛАСТЬ,2018-12-31,185036
АТЫРАУСКАЯ ОБЛАСТЬ,2003-12-31,27371
АТЫРАУСКАЯ ОБЛАСТЬ,2011-12-31,100022
АТЫРАУСКАЯ ОБЛАСТЬ,2005-12-31,39197
АТЫРАУСКАЯ ОБЛАСТЬ,2017-12-31,156392
АТЫРАУСКАЯ ОБЛАСТЬ,2019-12-31,212571
АТЫРАУСКАЯ ОБЛАСТЬ,2020-12-31,215076
Г.НУР-СУЛТАН,2003-12-31,20441
Г.НУР-СУЛТАН,2013-12-31,92604
Г.НУР-СУЛТАН,2016-12-31,130334
Г.НУР-СУЛТАН,2002-12-31,16418
Г.НУР-СУЛТАН,2001-12-31,14252
Г.НУР-СУЛТАН,2008-12-31,61089
Г.НУР-СУЛТАН,2004-12-31,26196
Г.НУР-СУЛТАН,2014-12-31,109866
Г.НУР-СУЛТАН,2000-12-31,11936
Г.НУР-СУЛТАН,2015-12-31,128956
Г.НУР-СУЛТАН,2007-12-31,48669
Г.НУР-СУЛТАН,2012-12-31,85080
Г.НУР-СУЛТАН,2018-12-31,147548
Г.НУР-СУЛТАН,2010-12-31,67171
Г.НУР-СУЛТАН,2011-12-31,76380
Г.НУР-СУЛТАН,2006-12-31,38127
Г.НУР-СУЛТАН,2009-12-31,66737
Г.НУР-СУЛТАН,2005-12-31,32738
Г.НУР-СУЛТАН,2017-12-31,138711
Г.НУР-СУЛТАН,2019-12-31,162400
Г.НУР-СУЛТАН,2020-12-31,174396
Г.АЛМАТЫ,2006-12-31,38190
Г.АЛМАТЫ,2011-12-31,76845
Г.АЛМАТЫ,2018-12-31,138927
Г.АЛМАТЫ,2017-12-31,130268
Г.АЛМАТЫ,2002-12-31,17243
Г.АЛМАТЫ,2009-12-31,71011
Г.АЛМАТЫ,2015-12-31,111529
Г.АЛМАТЫ,2007-12-31,51703
Г.АЛМАТЫ,2008-12-31,69881
Г.АЛМАТЫ,2003-12-31,20123
Г.АЛМАТЫ,2004-12-31,24235
Г.АЛМАТЫ,2014-12-31,104831
Г.АЛМАТЫ,2010-12-31,67190
Г.АЛМАТЫ,2016-12-31,124280
Г.АЛМАТЫ,2001-12-31,14478
Г.АЛМАТЫ,2013-12-31,95094
Г.АЛМАТЫ,2000-12-31,11382
Г.АЛМАТЫ,2012-12-31,86732
Г.АЛМАТЫ,2005-12-31,29347
Г.АЛМАТЫ,2019-12-31,150380
Г.АЛМАТЫ,2020-12-31,164721
РЕСПУБЛИКА КАЗАХСТАН,2015-12-31,67321
РЕСПУБЛИКА КАЗАХСТАН,2007-12-31,25226
РЕСПУБЛИКА КАЗАХСТАН,2006-12-31,19152
РЕСПУБЛИКА КАЗАХСТАН,2010-12-31,39014
РЕСПУБЛИКА КАЗАХСТАН,2008-12-31,32983
РЕСПУБЛИКА КАЗАХСТАН,2011-12-31,45918
РЕСПУБЛИКА КАЗАХСТАН,2012-12-31,51859
РЕСПУБЛИКА КАЗАХСТАН,2017-12-31,83709
РЕСПУБЛИКА КАЗАХСТАН,2002-12-31,8958
РЕСПУБЛИКА КАЗАХСТАН,2004-12-31,12817
РЕСПУБЛИКА КАЗАХСТАН,2014-12-31,62271
РЕСПУБЛИКА КАЗАХСТАН,2000-12-31,6352
РЕСПУБЛИКА КАЗАХСТАН,2003-12-31,10533
РЕСПУБЛИКА КАЗАХСТАН,2013-12-31,56452
РЕСПУБЛИКА КАЗАХСТАН,2016-12-31,76575
РЕСПУБЛИКА КАЗАХСТАН,2001-12-31,7670
РЕСПУБЛИКА КАЗАХСТАН,2009-12-31,34282
РЕСПУБЛИКА КАЗАХСТАН,2018-12-31,93135
РЕСПУБЛИКА КАЗАХСТАН,2005-12-31,15787
РЕСПУБЛИКА КАЗАХСТАН,2019-12-31,104282
РЕСПУБЛИКА КАЗАХСТАН,2020-12-31,116126
Г.ШЫМКЕНТ,2018-12-31,58470
Г.ШЫМКЕНТ,2019-12-31,70202
Г.ШЫМКЕНТ,2020-12-31,75725
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2018-12-31,43937
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2019-12-31,52650
ТУРКЕСТАНСКАЯ ОБЛАСТЬ,2020-12-31,63443
